"Date","Price","Open","High","Low","Change %"
"05/10/2024","3.427","3.438","3.471","3.374","0.91%"
"05/09/2024","3.396","3.411","3.474","3.383","-0.22%"
"05/08/2024","3.404","3.452","3.460","3.379","-1.25%"
"05/07/2024","3.447","3.480","3.486","3.372","-0.20%"
"05/06/2024","3.454","3.486","3.500","3.430","-0.60%"
"05/03/2024","3.474","3.509","3.513","3.406","-1.10%"
"05/02/2024","3.513","3.487","3.540","3.391","-1.43%"
"05/01/2024","3.564","3.564","3.564","3.564","-2.81%"
"04/30/2024","3.667","3.579","3.671","3.526","1.97%"
"04/29/2024","3.596","3.560","3.634","3.501","-0.77%"
"04/26/2024","3.624","3.544","3.629","3.514","0.92%"
"04/25/2024","3.591","3.513","3.639","3.459","1.64%"
"04/24/2024","3.533","3.488","3.566","3.444","1.99%"
"04/23/2024","3.464","3.409","3.530","3.357","-0.20%"
"04/22/2024","3.471","3.491","3.569","3.399","3.12%"
"04/20/2024","3.366","3.366","3.366","3.366","-2.83%"
"04/19/2024","3.464","3.456","3.570","3.383","-0.37%"
"04/18/2024","3.477","3.473","3.536","3.373","2.45%"
"04/17/2024","3.394","3.416","3.533","3.379","0.41%"
"04/16/2024","3.380","3.389","3.509","3.334","0.06%"
"04/15/2024","3.378","3.416","3.484","3.324","1.05%"
"04/12/2024","3.343","3.397","3.474","3.321","-3.10%"
"04/11/2024","3.450","3.448","3.504","3.365","0.41%"
"04/10/2024","3.436","3.349","3.480","3.303","1.57%"
"04/09/2024","3.383","3.408","3.439","3.325","-1.54%"
"04/08/2024","3.436","3.417","3.445","3.339","1.51%"
"04/05/2024","3.385","3.404","3.436","3.315","-0.35%"
"04/04/2024","3.397","3.383","3.433","3.327","-0.12%"
"04/03/2024","3.401","3.369","3.454","3.318","2.13%"
"04/02/2024","3.330","3.405","3.445","3.315","0.71%"
"04/01/2024","3.306","3.306","3.306","3.306","0.00%"
"03/29/2024","3.306","3.306","3.306","3.306","-2.26%"
"03/28/2024","3.383","3.389","3.439","3.329","0.33%"
"03/27/2024","3.372","3.389","3.430","3.319","-0.91%"
"03/26/2024","3.403","3.402","3.448","3.338","-0.18%"
"03/25/2024","3.409","3.312","3.451","3.312","1.22%"
